date,state,us_state_or_territory,positive,probablecases,negative,pending,totaltestresultssource,totaltestresults,hospitalizedcurrently,hospitalizedcumulative,inicucurrently,inicucumulative,onventilatorcurrently,onventilatorcumulative,recovered,lastupdateet,datemodified,checktimeet,death,hospitalized,hospitalizeddischarged,datechecked,totaltestsviral,positivetestsviral,negativetestsviral,positivecasesviral,deathconfirmed,deathprobable,totaltestencountersviral,totaltestspeopleviral,totaltestsantibody,positivetestsantibody,negativetestsantibody,totaltestspeopleantibody,positivetestspeopleantibody,negativetestspeopleantibody,totaltestspeopleantigen,positivetestspeopleantigen,totaltestsantigen,positivetestsantigen,fips,positiveincrease,negativeincrease,total,totaltestresultsincrease,posneg,dataqualitygrade,deathincrease,hospitalizedincrease,hash,commercialscore,negativeregularscore,negativescore,positivescore,score,grade
2021-02-01,OH,Ohio,899079,115921,,,totalTestsViral,9104857,2521,46438,652,6709,454,,786249,2021-02-01T14:00:00,2021-02-01T14:00:00Z,02/01 09:00,11230,46438,,2021-02-01T14:00:00Z,9104857,810600,,783158,10000,1230,,,,,,,,,,,1291665,70877,39,3287,0,899079,30787,899079,,55,223,c2dcee9dc614b5c125f3b029de16f497adc6669a,0,0,0,0,0,
2021-02-01,OK,Oklahoma,390868,,2795341,4314,posNeg,3186209,1184,21957,345,,,,358040,,,,3564,21957,,,3166000,360890,2795341,,,,,,115559,11794,,,,,,,,,40,1396,0,3190523,1396,3186209,,17,36,fcfe1dd5acb476858366ff35c2760e8ef2378cd2,0,0,0,0,0,
2021-02-01,OR,Oregon,142416,,,,totalTestsViral,3162750,320,7738,73,,35,,,2021-01-30T03:01:00,2021-01-30T03:01:00Z,01/29 22:01,1957,7738,,2021-01-30T03:01:00Z,3162750,187912,2947838,,,,,,,,,,,,,,,,41,0,0,142416,0,142416,,0,0,9e1e37276ff0e718b81cd7de768f9b0a48ba5fa5,0,0,0,0,0,
2021-02-01,PA,Pennsylvania,846078,109842,3646648,,totalTestEncountersViral,9264604,3280,,650,,420,,693783,2021-02-01T12:00:00,2021-02-01T12:00:00Z,02/01 07:00,21687,,,2021-02-01T12:00:00Z,,,,736236,,,9264604,4382884,,,,,,,,,,,42,2854,9497,4492726,35893,4492726,,26,0,833230bdfc87177b790e34ea26905d32bdce47a4,0,0,0,0,0,
2021-02-01,PR,Puerto Rico,94238,6798,305972,,posNeg,400210,282,,55,,40,,78813,2021-02-01T00:00:00,2021-02-01T00:00:00Z,01/31 19:00,1836,,,2021-02-01T00:00:00Z,415664,20103,395291,87440,1547,289,,,,69231,,,,,,,,,72,614,0,400210,614,400210,,7,0,5715dd1c4cc4e7fcc40cadbf410d85d0f3884fe6,0,0,0,0,0,
2021-02-01,RI,Rhode Island,115956,,628794,,totalTestEncountersViral,2545504,316,8296,47,,29,,,2021-02-01T13:00:00,2021-02-01T13:00:00Z,02/01 08:00,2173,8296,7054,2021-02-01T13:00:00Z,,138279,2407225,,,,2545504,744750,,,,,,,,,,,44,249,975,744750,6710,744750,,5,117,46dc1debeb8c531f163061881ff7cedc39c1ee89,0,0,0,0,0,
2021-02-01,SC,South Carolina,445916,47024,3812877,,posNeg,4258793,1842,18113,391,,240,,197810,2021-01-30T23:59:00,2021-01-30T23:59:00Z,01/30 18:59,7283,18113,,2021-01-30T23:59:00Z,4211769,510173,3701596,398892,6564,719,,,121817,22421,99396,,,,,,662554,88101,45,2530,28738,4258793,31268,4258793,,241,23,bea5722f032f23d04613a7bda6da177fa4ad2f06,0,0,0,0,0,
2021-02-01,SD,South Dakota,108315,11580,294568,,totalTestsViral,652087,126,6294,27,,20,,103709,2021-01-31T14:00:00,2021-01-31T14:00:00Z,01/31 09:00,1778,6294,,2021-01-31T14:00:00Z,652087,102120,,96735,,,,402883,,,,,,,,,,,46,65,205,402883,974,402883,,0,4,2faec551f03077bfe7238d30547ed1eb81d98604,0,0,0,0,0,
2021-02-01,TN,Tennessee,729187,110868,,,totalTestsViral,6336990,1682,17172,447,,253,,685162,2021-02-01T15:00:00,2021-02-01T15:00:00Z,02/01 10:00,9753,17172,,2021-02-01T15:00:00Z,6336990,712703,5624287,618319,7975,1778,,,,,,,,,,,905061,121133,47,1326,0,729187,9606,729187,,103,52,1def69fc0f421ee75286f5600c8b2c45781fe14d,0,0,0,0,0,
2021-02-01,TX,Texas,2392443,305273,,,totalTestsViral,17504358,11074,,3111,,,,1974572,2021-02-01T14:40:00,2021-02-01T14:40:00Z,02/01 09:40,36539,,,2021-02-01T14:40:00Z,17504358,2362669,,2087170,,,,,924087,124863,,,,,,,1819443,167830,48,31811,0,2392443,105238,2392443,,48,0,00b62b70f07a11e8bffd2d68fdd3b777f82e44b2,0,0,0,0,0,
2021-02-01,UT,Utah,347208,,1438206,,totalTestsViral,2613818,488,13515,129,2115,,731,307848,2021-02-01T10:43:00,2021-02-01T10:43:00Z,02/01 05:43,1668,13515,,2021-02-01T10:43:00Z,2613818,324317,2289501,,,,,1736035,,,,,,,292128,48785,733183,50888,49,584,2738,1785414,6460,1785414,,3,47,4d05395dde6f5e95081d3cea9a4d47bea2fea107,0,0,0,0,0,
2021-02-01,VA,Virginia,507640,101049,,263,totalTestEncountersViral,5261801,2446,21444,478,,304,,,2021-01-31T17:00:00,2021-01-31T17:00:00Z,01/31 12:00,6474,21444,40511,2021-01-31T17:00:00Z,,500306,,406591,5666,808,5261801,,208424,22977,,,,,,,1064820,103381,51,2861,0,507903,27646,507640,,10,35,e0e10c8d0b7c2e6b58ebe793d96f44c4c2d6432b,0,0,0,0,0,
2021-02-01,VI,United States Virgin Islands,2421,,39454,93,posNeg,41875,,,,,,,2306,2021-02-01T09:25:00,2021-02-01T09:25:00Z,02/01 04:25,24,,,2021-02-01T09:25:00Z,,,,,,,,41968,,,,,,,,,,,78,23,364,41968,387,41875,,0,0,eb202421412d7049099255c7032934ac81f62a54,0,0,0,0,0,
2021-02-01,VT,Vermont,12083,308,293874,,totalTestsViral,908823,67,,6,,,,8268,2021-01-31T23:59:00,2021-01-31T23:59:00Z,01/31 18:59,175,,,2021-01-31T23:59:00Z,908823,,,11775,,,,305649,,,,,,,,,,,50,118,1826,305957,11472,305957,,1,0,abb92f73ce430f356adfbb36d206bde6b72b63a6,0,0,0,0,0,
2021-02-01,WA,Washington,311597,14084,,,totalTestEncountersViral,4548239,797,17706,193,,88,,,2021-01-31T02:59:00,2021-01-31T02:59:00Z,01/30 21:59,4285,17706,,2021-01-31T02:59:00Z,,,,297513,,,4548239,,,,,,,,,,,,53,0,0,311597,0,311597,,0,0,92791f97f0788b3462068049676dde0000e4f0c8,0,0,0,0,0,
2021-02-01,WI,Wisconsin,592921,49756,2510670,42,totalTestEncountersViral,6160773,697,24337,168,2181,,,518801,2021-02-01T00:00:00,2021-02-01T00:00:00Z,01/31 19:00,6436,24337,,2021-02-01T00:00:00Z,,,,543165,5897,539,6160773,3053835,,,,,,,,,,,55,781,3070,3103633,-16802,3103591,,2,39,15de601b7e98d0a80c0968294cbc90087d5234aa,0,0,0,0,0,
2021-02-01,WV,West Virginia,121425,24051,,,totalTestsViral,1925306,438,,118,,48,,98782,2021-01-31T23:59:00,2021-01-31T23:59:00Z,01/31 18:59,2028,,,2021-01-31T23:59:00Z,1925306,,,97374,1735,293,,,30598,,,,,,,,,,54,424,0,121425,5006,121425,,4,0,e3be106807bec30d8a59f78fca3e4d4b4c15aa96,0,0,0,0,0,
2021-02-01,WY,Wyoming,52057,7603,173379,,totalTestsViral,651791,53,1289,,,,,50317,2021-02-01T00:00:00,2021-02-01T00:00:00Z,01/31 19:00,596,1289,,2021-02-01T00:00:00Z,651791,46137,605608,44454,,,,217833,,,,,,,,,,,56,145,922,225436,16806,225436,,0,5,bac18a9aede504a1b043a0096fa0d2e0658331fe,0,0,0,0,0,
